Restaurant Name,Restaurant Type,Reviewer's Name,Rating,Comment,rating_class_main,rating_for_comment
Alchemist Beer Lab,"International, Contemporary",Dishwasherface,3,"If the beers were $15 each. Luckily I was able to try several beers in little shot glasses, before ordering a whole glass (Ale Yeah SPA). I didn't care for any of the infused beer concoctions, though they sounded delicious. I also ordered pork belly, ",0,0
Sanpoutei Ramen,"Japanese, Asian",Boonchong,3,We tried shoyu and spicy miso ramen. The shoyu is special in the sense that it contains more than just shoyu. I like it but my gf finds the fish taste inside too overpowering. The spicy miso was a miss. The broth was too spicy,0,-1
Paradise Dynasty at VivoCity,"Chinese, Asian",CelineBrussels,3,We went there for dim sum.  The food is very average and we do not really enjoy the restaurant nor the food.  The price is high for what we get.,0,-1
Esquina,"European, Spanish",Voyage45663869921,3,"Food is good and tasty, tks to the chef. But I really recommend them change some waiters. Service is just TOO BAD. I waited for 10mins to be seated. Waited another 20mins to order the food. I asked for sparkling water but they keep pulling ",0,-1
British Hainan,"Singaporean, Fusion",Kathleenlim,3,The name of the food joint says it all! This is in an industrial estate far from the maddening crowd & spacious. There are only a handful authentic Hainan dishes but more angmo food. We had the Hainanese Chap Chye which was no different from any chap chye! The ngoh hiang & beef stew were so so except for the pork ribs which were v tender. Mushroom soup was pretty good though. So was the tiramisu cake. Outlet is pretty cluttered with lots of old things.,0,0
Artemis Grill & Sky Bar,"Seafood, Mediterranean",gnoreda,1,"We decided to hold our company dinner at Artemis for it nice view and relaxed ambiance. Some of my colleagues ordered Pasture-Fed Beef Tenderloin and literally, we are serve with a piece of meat on the plate WITHOUT any salad!! What a delight!!! 

It was ",-1,0
Carousel Buffet,"Seafood, Sushi",ahliao,3,"Service crews are superb! Attentive and polite.
The food standard i would say not as good as before. Last visit was about 2 years ago.
The Nasi Lemak rice is cold & hard.
The Wu Xiang meehoon is already harden by 4:30pm
Maki is too ",0,-1
Sum Yi Tai,"Chinese, Asian",adroxx,2,Just make sure you tell them u need a table for adults. Booked for a table of 6 and was given 2 small tables outside with bar stools and was told it can fit 6 adults which obviously can't.  Waitress and manager kept insisting it,-1,-1
Restaurant Labyrinth,"Singaporean, Asian",HowardTigris,5,"Restaurant Labyrinth has successfully took interpretation of Singaporean cuisine to the next level. From start to finish, every dish is made with a purpose to bring you back to Singaporean food memories typical of everyone living in this city. The tasting menu consists of a ",1,0
Tandoor,"Indian, Asian",Hurditya,1,We ordered a starter main course and naan. Food was ok but the things were ridiculously overpriced considering the amount they served. Never Coming Back here again. There are many more restaurants that served less priced food with the same quality,-1,-1
Escape Restaurant & Lounge,"Asian, Singaporean",Francis C,1,Breakfast and lunch at Escape has a good spread. The Laksa is to die for. The durian pengat is outstanding. Also a good cheese board. Also has a iNDian food section which is delicious and nice desserts too.  That is why I can't understand why,-1,0
La Taperia,"Mediterranean, European",tianlej,1,"We choose this place because of the good rating and had a walk in dinner last night.  

While assuming like all Spanish restaurants in Spain, bread and aioli would be complimentary, it was not the case here. The bread there is called Baguettes (French), and ",-1,0
Oso Ristorante,"Mediterranean, Northern-Italian",Unikunn,1,I can’t believe why this restaurant got such 4.5 star high rank review. I visited there with my girlfriend during our stay at Oasia Hotel. First there was a bug in the wine we ordered. I claimed to one of waiters about that and asked,-1,-1
Khansama Tandoori Restaurant,"Pakistani, Indian",nirevms,3,"The punjabi curries are amazing.. their chaats are not so great.. so when u go there, order all the punjabi curries! very good. But dont waste time on the chaats..",0,0
PocoLoco,"Italian, European",Daniel T,3,"We got the mozzarella, which was actually a deep fried grilled cheese, grilled chicken salad, mussels, and a pasta dish with beef and a cream sauce. 

The grilled cheese was actually quite good, as was the salad, the pasta was decent as well. The mussels ",0,0
Dolce Vita,"Italian, European",chuijia,5,Great service and food. Ravi was very attentive and provided good recommendations. The outdoor seating was very chilled but you’re quite close to the pool so your environment is lately dictated by the people who are utilising the pool. Would love to return.,1,0
Fat Prince,"Turkish, Middle Eastern",vijayshahsg,5,"3of us had a quick dinner here before a show. Limited choices for vegetarians but what they do offer is very good, and there was enough choices to satisfy us. The hummus had walnuts in it. Yum. Service was also excellent. Not cheap but not ",1,1
The Penny Black Victorian London Pub,"Bar, European",Bellatravelscom,3,We stopped here for a quick drink and bar snacks as we walked around Singapore.  Service was a bit slow but the bar snacks were fine. We had wings and fish fingers which helped assage hunger without being too large.  Not fine dining but a,0,0
Kopi Tiam,"Asian, Singaporean",wudasun,4,Friends and I have been patronising this restaurant for years. The pricing is not expensive and there is a variety of local food. We like it’s curry fish head and fried carrot cake. We always look for Ms Maricur to serve us because of her attentive service,1,0
BBR By Alain Ducasse,"Bar, Mediterranean",Mickigirl1310,3,"So if you are going to charge the prices this restaurant charges, you'd better make damn sure your service and food are spot on, or you will have disgruntled customers like us.
We had planned a family reunion dinner here, as we thought it would ",0,-1
Iggy's,European,wuyck,3,"Experimental food, some delicious (e.g. the beef), some absolutely not up to the price level (the amuses). Quiet atmosphere, with attentive service. But the level of English in explaining the chef's fantasies with absolute below level.

For this price it just has to be perfect, ",0,0
Stellar at 1-Altitude,Contemporary,Orator11,3,"The view of the MBS and surrounding area was nice, but the grey weather did not help.  Foodwise, the first two dishes were unmemorable - the cabbage broth with carrots was like washing water, almost tasteless, while the parsnip was better but the peas were ",0,0
Ginza Itsuki,$$ - $$$,SingaporeGuest,4,"Find the tempura went done, miso soup tasty though chawamushi could be heated a bit longer to bring justice to the visually appealing bowl. Find the tea overpriced at $3.8++ per cup. Perhaps owner can consider changing the cut of two pieces of chicken breast/fillets ",1,-1
Dallas Restaurant & Bar (Boat Quay),"Bar, American",JodHami,3,"I had a nice evening at Dallas as part of a large function group. We chose off a set menu of entree, main and dessert. The portion sizes were large and filling. The staff were helpful so no issues there. The wine list was good ",0,0
Sushi Tei - Raffles City,"Japanese, Sushi",SimplyBlissfulLife,3,"Was there on a Sat evening for dinner
Waited about 30mins for a table
Food served was up to standard 
Price range acceptable
But when the last order came for us at 930pm
We ordered a plate of horse mackerel but when the food came ",0,0
ATLAS Bar,"European, Wine Bar",roryjdoyle,5,"One of the best lunch venues I have experienced in Singapore. 1,300 Gins to choose from. Excellent steak lunch. Pricey but I would pay the same tomorrow for the same experience.",1,1
Sque Rotisserie & Alehouse,"Bar, European",kingofpeppange,3,"Lovely terrace overlooking Clarke's Quay . Good choice of food and drinks , but like all over this part of Singapore you are going to overpay for what you get !",0,0
Triple Three,"Asian, Singaporean",shuryu2003,5,"Great overall experience! Lovely ambience, superb services and fantastic freshness of food. Already expected it has to be great food due to the cost and the restaurant didn’t disappoint. They delivered the quality with a punch.",1,1
Kopi Tiam,"Asian, Singaporean",Ambience00,3,Food was clean. i mean  really clean  which is good. Flavour was great! Food quantity   not so  may want to increase more quanity & quality? Went to another restaurant after coz quanity wasn't enough after ordering 3 mains & 1 app for 2 pax   .,0,0
iO Italian Osteria Singapore,"Italian, Mediterranean",lindatng,3,"It was warm in the cafe and the pasta was just average. I had dine here few years ago, was impressed and decided to bring friends to try out. Ledt with some disappointment. Staff was helpful.",0,0
Jiang-Nan Chun,"Chinese, Asian",FirstClass_ID,5,"I did not expect much and was pleasantly surprised with the food and service. Some of the best Chinese food and service you can find in Singapore, worthy of the michelin star. Service was great, our glasses were never empty. However, as someone who enjoys ",1,0
Wine Connection Tapas Bar & Bistro,"French, Bar",tongrachel,3,The atmosphere of the bsitro is very nice and is suitable for a large crowd having fun. The wine selection is very good. I would say that it will be better if they improve the quality of the food.,0,0
Bee's Knees at The Garage,"Cafe, International",Flyer33572904311,1,Made a reservation for Valentine's Day but could not get a seat when we were there because the place was overbooked. There were a lot of couples also waiting for their seats and many of them reserved for a time slot much earlier Gave up,-1,-1
Shahi Maharani North Indian Restaurant,"Indian, Asian",A D,3,"A wide range of north Indian food on the menu. Almost everything we tried was very good. Not the cheapest restaurant though. The only issue we had (every time we visited) was the annoyingly loud cultural music band. It's a restaurant, not a concert so ",0,0
Open Door Policy,Contemporary,SharonC261,3,"Booked a reservation at 12, arrived 1220, restaurant was quite empty. But waiter said fully booked. Pleasantly seated. Orders taken. Food served fast. Food was great. But after we finished our meal but still have our coffee half done and with restaurant almost full at ",0,0
Hillman Restaurant,"Chinese, Asian",harihara m,3,"Hungry one night walking down kitchner road, we chanced on this restaurant who were about to close. The waitress almost said closed but the Owner beckoned. We walked in gratefully. Mom wanted Veg food so we asked for soup and fried rice. we had made ",0,0
Red House,"Chinese, Seafood",sangeethaj2016,5,I simply loved the seafood horfun & the chilli crabs. The gravy was extraordinary & it was perfect with the fried buns. My entire family enjoyed the dishes there. The staff were very proactive & friendly. Awesome experience & thumbs up!,1,0
Jigger & Pony,Bar,Brenda B,5,"For a team celebration, we decided to start the evening at Jigger & Pony. Great choice! Wonderful selection of alcoholic beverages  in a fun setting. The bar looks like something out of a movie set.  My cosmopolitan was very tasty  (although perhaps a little small), ",1,1
L'Angelus,"French, European",286cynthiag,3,"Did not quite live up to being the oldest single-location French Restaurant. The soup was bland, the mains were also not impressive- pieces of duck that looked more like zhi char. And pannacota served in a wine glass? Didn’t taste very authentic at all. Should ",0,-1
Potato Head Singapore,"American, Bar",kimwillrule,4,"Cult-status achieved Potato Head needs little introduction. Scaled-down in Singapore, it still attracts those who desire to be seen. It’s got that Bali-cool badge of honour with wall graffiti’s and verve of anti-establishment. They still make mean beautiful cocktails but 2 buns eatery on the second floor are over-priced and food are decent but hardly knockout despite the creative names. In our 2.5 hours seat, the crowds are vastly different and un-homogenous.",1,0
Sum Yi Tai,"Chinese, Asian",kimwillrule,3,Your closest ticket to Hong Kong now is a Kowloon lift up to the rooftop bar at Sum Yi Tai. There is a neon-oriental-lit indoor bar with wall murals on the first floor but most head to the rooftop where sultry Chinese lanterns dimly lit the squid-ink sky. You don’t get fancy cocktails here but a trimmed-down list of usual suspects. It’s lost a wee of its yesteryears lustre but it should suffice should the travel bug bite.,0,0
The Flying Squirrel,"Japanese, Sushi",neelay01,2,Have eaten here a number of times and the food is excellent. I booked in advance asked for a bar seat by the chef. On arrival we were 15 mins early and were rudely told to come back. Finally we were ushered in only to be given a bar seat in from of the bar area. Not the experience we were expecting. It was busy but the service was terrible. We ordered a lot of food for 2 and it all arrived at once. Within 60 seconds. It was like they just wanted us in and out. Oh and they reminded us twice that we had a 90 min seating only. We were in and out in 43 mins. Not the Saturday night dinner experience we were expecting at all. Sorry to say it’s these types of experiences that put people off. Will not be returning.,-1,-1
Old Cheng Du,"Chinese, Asian",stephenjason,5,"I was lucky enough to be on business in Singapore six times this past year, and it's a ritual have a spicy Szechuan at Old Chendu.  It is indeed hard to choose from so many restaurants to choose from in Chinatown.  This place came from ",1,0
Hutong Northern Chinese Cuisine,"Chinese, Asian",HappyBuddha247,3,Ate here on a Sunday night. Not overly busy. Sevice was a bit disjointed with entrees arriving late or not at all. Food OK but not a cut above. Reasonable eats and fairly priced.,0,0
Potato Head Singapore,"American, Bar",D8164FWalexg,5,Had my sister over to stay for a week and took here here for some food and drinks. The burgers were absolutely amazing and would be very close if not the perfect burger. The place has quite a buzz about it and really quirky decor .,1,0
Guccio Ristorante,"Italian, Mediterranean",Anica1970,3,"Ingredients are of good quality but the preparation is lacking of creativity. Staff is Low performing in all areas. 4 pax at one table, they distribute one big bottle of water on 3 people for the entry filling up 3 glasses and the fourth stays empty and ask “do you want another one?”
We had to refill our wine the whole evening. The restaurant has maybe 10-15 tables and it felt like same amount of waitresses but all of them were helpless. 
The portions are also as small as the chef. 
Far away from top.",0,-1
LONG BEACH UDMC,"Seafood, Singaporean",NCTexan2011,3,"Went here with some friends and their kids for a feast before heading to the airport to go home.  The chili crab was meaty and the sides flavorful.  Some of the fried dishes were a bit overdone, but all in all a satisfying meal.  They ",0,0
Whisk & Paddle,$$ - $$$,AdrianTay,2,"It's really just an empty shell. Service is slow,brood quality is unimaginably disappointing especially when they serve my son's steak that feels like a rubber ball. Even the steak knife that they provided cannot cut the steak properly. I'm  very sure that they microwave their ",-1,-1
Spago Dining Room by Wolfgang Puck,"American, European",040DDK,2,"Is this a restaurant or a bistro ? This is not what we expected, food was ok but definitely not star level. High priced for basic food. Staff started cleaning up while seated, loud and terrible music. No nice view to the outside, no reason ",-1,-1
Din Tai Fung (RWS Branch),"Chinese, Asian",FANLIWEI1988,3,"Food is average but overcrowded n overprice. If you been to China, this is nothing. Guarantee. 
If you never try before, can do so, but not in sentosa cos the place is always pack with people. Better to take McDonald especially need of time to ",0,0
Oriole Coffee + Bar,Cafe,sman87,1,"- Ordered the burger which was hastily put together with a soggy bun
- Every time i needed to get the service staff attention it would take a couple of  minutes
- And when i do get their attention, they don't seem happy or interested ",-1,-1
The Grand Lobby,"European, British",Angela P,3,"Booked afternoon tea with my family as a last treat before leaving Singapore. I travel there regularly and have been waiting for it to reopen for over a year! 
I received an email confirmation for the tea which clearly stipulated ""Dress code for The Grand ",0,0
PS. Cafe,$$ - $$$,jryc,2,"We have alway like PS cafe so we were very excited whenever there are new outlets. Unfortunately, these days the new branches doesn’t come with their wonderful bathrooms with lovely soups, music and flowers. Anyway, it’s not the main reason we were unhappy about this ",-1,-1
Makan@Jen,"Seafood, Asian",MelanieQ717,3,"We ordered 3 course buffet - salad, mains and desserts. The salad was good, the mains were average and the desserts were pathetic. 

Cakes placed in drawer fridges gave it a unique display but this also made the cakes rather hard. Noticed that the cakes ",0,0
Brunches Cafe,Cafe,ChungPin,3,"Ordered for 5 including 2 kids. Told them to serve together.

Kids’ order came really late. In fact the other 3 adults are almost finished before they came with it. Even their babycino came late!

Ironically the order which was supposed to take a 10-12 ",0,0
Sabai Fine Thai on the Bay,"Asian, Thai",GreenLV,4,"This is my favourite Thai restaurant.  The location is great. I usually like to sit outside to enjoy the view. 

Food are very tasty!  service is good too. A must visit for me every time when I am in Singapore

highly recommended",1,0
Cherry Garden,"Chinese, Asian",laloute2006,5,"I just had dim sum brunch today with my kids and is was brilliant. The food selection was delicious and the service, especially Vanessa out waitress, was impeccable and very friendly. We will absolutely be back very soon!",1,0
Jacob's Cafe,"Cafe, European",SingaporeGuest,3,"Tried the salmon aglio olio pasta which was sprinkled with plenty of garlic and big slab of salmon. The portion is huge which might explain the price point. Taste is decent but not exactly memorable. Hence for the long wait and rather pricey lunch experience, ",0,0
Super Loco,"Mexican, Latin",Rajan65,2,"You’ll be super loco to go here. Nice location, ok food but crazy expensive prices. The frozen margarita jug unfreezes real quick, eating portions are small and service is ok. Simply wrong.",-1,-1
Lantern Rooftop Bar,"Bar, International",XUSA_TravelerX,3,We arrived at Lantern at 5pm to enjoy the views and have some drinks and dinner.  We were told we could only have a table for 1 hour.  There are no seats at the bar so tables/couches are the only option.  Service was slow even,0,-1
Culina at COMO Dempsey,European,adlynmeg,1,"A classic slight-of-hand trick for squeezing extra profit out of a customer. Culina are selling the 2014 vintage of the highly regarded Louis Jadot Chassagne-Montrachet Cru. The problem is, they are pouring the 2015 vintage! At $44 per glass or $211 per bottle you would ",-1,-1
Mellben Signature,"Chinese, Seafood",Keslyne,4,"If you are craving for some nice hot soup and big fresh Sri Lankan crabs, this is a must visit. Be careful that you will get hooked as they are not cheap. Good service and local setting in a coffeeshop. Service was good.",1,0
Hakata Ikkousha Chijmes,$$ - $$$,super1kc,3,"Broth is more flavour and  thicker than the branch in Perth, Western Australia but the ramen is same and not the best texture and taste.  Service is prompt and helpful.  Eggs on the table are complimentary. Opens at 11.30 am and was almost full of people.  Sgd$16.50 special tonkatsu  Sgd$14 black tonkatsu are ok.",0,0
Blu Jaz,"Bar, Pub",kikikyo,4,This place has a great atmosphere. A great place for a group of friends to gather  over a few drinks. Menu decently priced  wide variety too. But food quality is average,1,0
CE LA VI,"Asian, Fusion",sha2088,1,"Booked a table for dinner, got seated at the SkyBar and told that we don’t have a reservation at the restaurant. Cocktails they served were very diluted and poor quality for such a place.
The tables we were given were right next to some external ",-1,-1
Oasis,"Barbecue, International",Anniejeweltan,3,"I'll not recommend this place for food or drinks at the prices charged. Food selection limited and quality low for Hyatt's standard and price charged.
When I was there this evening, I was the only local.
There's a pool by the side al fresco probably cater more ",0,-1
Sushi Tei - Raffles City,"Japanese, Sushi",JojiJacob,3,I had lunch at Sushi Tei's Raffles Place outlet. I ordered gyoza and garlic rice. Both very average. And they have a limoncello-tasting kind of sake. Avoid it like the plague. The service is friendly though. There are better places in and around Raffles Place.,0,0
Long Beach King,"Seafood, Asian",Mingky T,1,"A very rude lady answered my call at 4:45p.m. on SUNDAY, 7 FEBRUARY 2016. The purpose of my phone call is to order YU SHENG. It is a norm to ask the price before ordering. The lady did not answer but instead she asked me ",-1,-1
Burnt Ends,Barbecue,Gudni_B04,4,"A well anticipated dinner as the waitlist is also quite long.
Booked on recommendation and anticipation and managed to get a table of 4.
The food is good, although if you compare it to a Michelin One Star restaurant it does not compete with restaurants in cites such as London, Hong Kong, Tokyo, New York but the prices are certainly way above.
All in all a good meal but for specials occasions only.",1,0
Black Angus Steakhouse,"American, Steakhouse",Philipat,2,"I am a lover of steak and in particular Prime Rib but in Indonesia, where I live, since Lawry’s in Jakarta closed several years ago, there is nowhere to find it. So whenever I am in Singapore, as I was last week, I always go ",-1,0
Man Man Japanese Unagi Restaurant,$$ - $$$,caroltay2018,3,The food is pretty okay only  however the long queue which one have to stand usually under the hot sun if you go there for lunch don't seemed to be worth the while..,0,-1
Jia Wei Chinese Restaurant,"Chinese, Asian",SailorHT,4,"Before June, the visual grandeur of JW would set my mind at ease. Somehow, I could just be there and the ambience would engulf me in soothing images. The food was not debatable, from my point of view. My salivary glands could never fail to ",1,1
Crystal Jade Kitchen,$$ - $$$,psmichaelgunawan,3,"Decent food for a nice location. Place looks great after the renovation. The service was nice. The old aunties were very efficient and friendly; they speak Chinese mostly, so learn some like ""xie-xie"" to make them happier serving your table. Overall nice food. Good dim ",0,0
The Landing Point,"Asian, International",PerthBob123,2,"My wife and I entertained friends at the Fullerton this afternoon with the High Tea.   What a disappointment.  To be true, the food was fine and beautifully presented.

It was like dining in a food hall.   Nothing special and had tourist groups in with cameras ",-1,0
The Grand Lobby,"European, British",Checkinopen,3,"For some reason this just didn't hit the mark.  The afternoon tea wasn't at the level we were expecting. 

Our menu had jam on it, they didn't offer us tea until the very end and we asked for some more sandwiches but they never arrived .",0,-1
Hajah Maimunah Restaurant,$$ - $$$,Natalie S,2,"Went several times a few years ago and it was so good. Went again recently and found that prices has increased but the quality of food and service has dropped quite badly. There are a few nasi padang stores around Arab Street area, and their ",-1,-1
Patara Fine Thai Cuisine,"Asian, Thai",Littlelix,2,"The above says it all really ..the staff couldn’t be more polite or welcoming, the table I was shown to was a banquette and very comfortable, the water was chilled the beer was cold, they turned down the music a notch at my request with smile, ",-1,-1
Kitchen by Food Rebel,"Healthy, Cafe",hannabanana45,2,"Went here for breakfast. The completely empty place should have been the first deterrent, the rude staff the second. Knowing that they only serve breakfast till 11.30am, we rushed in at 11.15am, being kind of rudely told that they only serve the lunch menu now .After we asked again, making a comment on the time, they were willing to serve us breakfast. We ordered the acai bowl and the rebel breakfast. This is when the disappointment started. The rebel breakfast came without the toast, so I thought they forgot. When I asked for it, they had the decency to bring me this tiny piece of toast without any comment (of course without the bite in it). Obviously they were out of bread, because breakfast time was almost over. I wouldn’t have had a problem with that, if they would have just apologized for it and told me that there was no more bread and maybe offer me something else instead, but they obviously tried to hide the fact and hoped I wouldn’t realize that something was missing. Especially after I had another glance at the menu, I saw that they serve sandwiches for lunch with a different kind of bread. After realizing that they could have just offered me a different kind of bread I was really disappointed how they serve their customers, especially regarding the really high prices and the more than average food. 

To be fair, the acai bowl and coffee was good, but otherwise I would definitely not recommend this place. I was really disappointed.",-1,0
Jacob's Cafe,"Cafe, European",therealtravels,1,We visited the Jacob's Cafe in Changi Village for a lunch after a swim. We ordered the beef stew and was greeted with a disappointing bowl of pale gravy almost like Campbell's gravy. The beef was quite hard and chewy.,-1,-1
Tuan Yuan Pork Ribs Soup,"Chinese, Asian",bblb-bblb,5,"Very crispy you tiao, small portion which is just nice. They serve great steam fish that is very fresh. Bak Kut Teh is not as salty as most places. Great service when it comes to adding soup or adding orders.",1,0
Char,"Chinese, Asian",jdanielca,1,"Now I have read the reviews on facebook, so I knew the service was probably going to be rubbish, little did I know how bad it was going to be. I made a reservation for 5 people for 7pm on Sunday. I arrived on time ",-1,-1
Peppermint,"Seafood, Asian",bbbbbw,1,"First time visit. 
Surveyed the buffet line before eating and selection looked reasonably decent. 
Excellent service clearing used plates, refilling iced water.

Unfortunately food quality is very poor for the price paid. $83++ before card discount. 
5 star hotel but 3 star food quality. 
I ",-1,-1
Tung Lok Signatures,$$ - $$$,SimplyBlissfulLife,3,"We ordered the Mother's Day(2018)  set menu 3 at $878++

Their  Crisp-fried Lobster Ball with Salted Egg Yolk and Fresh Fruits  - 4/5

 Double-boiled Shark’s Fin with Crab Meat and Ham  served in Mini Pumpkin - 
2/5 Fishy crabmeat smell

Sautéed Scallop with Asparagus in X.O. Sauce -3/5

 
Steamed Star Garoupa Fillet with Chinese Wine and Parsley - 4/5

  
Chilled Mango, Pomelo and Sago  with Ice-cream served in Mini Coconut - 4/5
The others few dishes are accepted so no comments.

Thankfully this nice dessert end the dinner with a sweet ending.

Personally, with this price there are better place that serve better food.

Will not visit again ",0,-1
The White Rabbit,"French, European",Mr45444,2,"We were really looking forward to lunch here after a nice brunch a few months back. Unfortunately we found the majority of waiters extremely miserable, one in particular in a suit spoke so quietly and made no effort to speak up it was just plain ",-1,-1
River Wok Singapore,"Seafood, Asian",chedder142,3,"Stopped here after being advised by door staff that they did Chilli Crab - only to find some-time after ordering that they had no crab, quite disappointing 

The food that we had was generally nice, and not overly expensive.",0,0
BBR By Alain Ducasse,"Bar, Mediterranean",226martinep,3,My partner and i visited Raffles in September 2017. This was supposed to be one of the highlights of our trip. We wanted an evening sipping cocktails and having looked at the Raffles website and dress code we dressed accordingly. We both dressed up for,0,0
The Beast,"Bar, Pub",Dtweedy,2,"Service was terrible and the fried chicken was overly greasy and tasteless.  We sat at our table for 30 minutes before a server came by to take our order.  Then we were notified 20 minutes later our order was never entered and they forgot what we wanted.  Food finally showed up 1.5 hours after we initially sat down.  That may have been ok, but there was absolutely no recognition of the mistakes by the restaurant.  Completely oblivious to the poor service.

The food was average but the fried checked was disappointing for a place that brags about their southern bbq.  And the old fashioned, for a bourbon bar, was watered down and a weak poor.

Too many other great restaurants to try in Singapore to bother with this.",-1,-1
GoroGoro Steamboat & Korean Buffet,"Asian, Korean",babekim,5,"Cooked food was tasty, especially the Korean pancakes / har cheong gai / Korean chicken wings which are the recommendation from the manager. Ingredients for the steamboat too was a huge variety, meat was fresh and tender when cooked! Not much dessert except for fruits ",1,1
Wildseed Cafe at The Alkaff Mansion,Cafe,cheyochan,3,"The cafe is a very pretty place, great place to take pictures for Instagram but food was disappointing. 

The Loaded Mac Cheese especially was terrible  it was sour and obviously reheated with the use of a microwave. We sent the dish back as it was ",0,-1
Xin Cuisine Chinese restaurant,"Chinese, Asian",smc41,3,Heard of Xin Cuisine for the longest time  and yet never really made it for dinner there. Finally settled for a CNY dinner with a set menu. Decor at the restaurant entrance was welcoming but was already put off by the strong stench of cigarette,0,0
Don Quijote Spanish Restaurant,"European, Spanish",andreeani,5,"We went on Thursday to Don Quijote for dinner. We were a party of 8  and we pre-ordered certain dishes we knew they need longer to cook (Paella for example and other meat dishes we wanted to try).   I spent quite some time in Spain and I missed the food . So, I was pretty surprised to get such  genuine, authentic taste ! This was by far the best Spanish restaurant I visited in Singapore since I moved here in 2014.    My favorite dishes were the tapas : the bikini tapas, calamares fritos and callos (this one needs to be ordered in advance) , the meat dishes - especially charcoaled Angus Beef Rib,  heavenly tender  -  and the Paella Negra - this dish  to die for !!! Cava and Sangria accompanied and were the best !!! This place is highly recommended for everyone who genuinely appreciate authentic taste!",1,1
Alba 1836 Wine Bar & Restaurant,"Italian, European",mfCostigliole,5,"Excellent location, very peaceful and cosy: like having dinner in your own garden. I loved it. 
At last a very good wine list by the glass, a rarity in Singapore. Very good wine list.
Tasty starters and desserts, with excellent service. I did not try ",1,0
The Marmalade Pantry at Downtown,"Cafe, Asian",RafaelRayMariano,2,"The customer service offered is like kopitiam standard. There's no customer service at kopitiam you say? Well you see my point then. 

The service is extremely slow. The service staff always congregate at the left side of the restaurant and talk to each other with ",-1,-1
Straits Cafe,"Singaporean, International",Jessica L,3,"On Christmas Eve 2019, we(3 of us) chose this hotel to have celebration and family gathering at Straits Cafe.

To my surprise, as LOCAL GUESTS dine in there we have to pay for car park fees. 
We haven't go back to this property almost 6 ",0,-1
My Little Tapas Bar,"European, Spanish",Luvlu,4,"This cute tapas bar has a sister restaurant ""My little tapas place"" on boat quay as well this review serves both as menus and quality of food are similar. 

The menu is extensive with a wide range of traditional tapas and Spanish dishes to share .",1,0
Bistecca Tuscan Steakhouse,"Italian, Steakhouse",wadapalooza,3,"My wife and I have been to Bistecca multiple times. Usually we have a great experience but on our last visit we were quite sorely disappointed. 

Despite being one of the very first guests at the restaurant we ended up waiting close to an hour ",0,-1
Foc Pim Pam,"Mediterranean, European",zhengning,3,"Big fan of FOC (HK Street), decided to visit Pim Pam as well but it's very underwhelming comparatively. Ok atmosphere (it was lunch time and pretty quiet) with average food! Service was amazing though, but i'll probably stick to FOC HK Street.",0,-1
COCA Singapore - Leisure Park Kallang,$$ - $$$,Wong S,2,"Food was really good but the cleanliness failed big time. Cutleries was either dirty, stained or maybe wasn't even washed properly. Found a small fly in the soup and only to be replaced with no apologise from the manager or staff. Food and replacement of ",-1,0
Humpback,"Bar, Seafood",Sux123,1,"Despite having previously frequented this venue multiple times, this past visit my friends and I had the unfortunate experience of having to deal with the restaurant’s manager Jason.  He is the rudest manager that we have come across in our over 10+ years in Singapore .As a result we will no longer be patrons of this establishment.",-1,-1
Zaffron Kitchen,"Indian, Asian",Venture802018,3,"We had dinner there with my wife and son on a Saturday evening. 
The restaurant has a good local clientele 
The lamb shank Biryani was excellent 
Then we ordered a yellow dal which was dlsappointing
So in short they have dishes at two extremes
The ",0,0
Platypus Kitchen,"Italian, Asian",jaso2019,5,"Had discovered the restaurant in Bugis by accident one lazy afternoon and ran back to it during dinner because of its amazing deals.
There is a different deal each night and drinks are cheap !
Portions are good sized too . 
My fav is tacos Tuesday !!!!
Love the fish tacos .
And I do have the red sangria each and every time I m here which is almost 2-4 times a week 😄
Service is great and the restaurant is gaining in so much popularity so it’s best to have a reservation .
It’s a must visit",1,0
Majestic Restaurant,"Chinese, Asian",Matkailija58,3,"The restaurant was full of people at 8 o'clock and very noisy. It was almost impossible to hear what people said on the other side of the table. We ordered a five course menu ""chef yong's signature"". The starter chilled sake infused crabmeat salad was ",0,0
Tambuah Mas,"Asian, Indonesian",ChristheIntrepid,3,"We had a birthday lunch celebration on a Sunday and their service was somewhat lacking.  Perhaps they had some staff away?? Nevertheless, service staff were slow to at least acknowledge us before taking our food orders.  Their dishes used to be very good, but after ",0,-1
Cafe Iguana,"Mexican, Latin",JovialAce,3,"First time back here in a long while, their margaritas are still as good! And they even have tiered happy hour price promotion starting from 12pm - Perfect! 

The only gripe I have is over the pandemic safety guidelines taken by the restaurant as I ",0,0
Arteastiq Bistro & Bar,Cafe,wyuyuh,3,"This is one of the many restaurants in Plaza
Singapura. Food was ok but the whole place didn’t feel welcoming from the point we stepped into the restaurant. 

1. First thing the server told us when we walked in was we could only stay for ",0,-1
La Pizzaiola,"Italian, Pizza",TravelCharger,5,"If you are looking for fresh Italian pizza and pasta and you happen to be around Serangoon and Braddell Heights, do check out this cosy restaurant snug in the middle of a landed residential area! Besides a good selection of Italian cuisine (the ravioli and ",1,1
